	subjectID	study_condition	dose	species	breed	period	studyID	forage	concentrate
Dairy2_low_1022p1d21_Haisan_2017	Dairy2_low_1022p1d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_1022p1d28_Haisan_2017	Dairy2_low_1022p1d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_1023p2d21_Haisan_2017	Dairy2_low_1023p2d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_1023p2d28_Haisan_2017	Dairy2_low_1023p2d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_1025p2d21_Haisan_2017	Dairy2_low_1025p2d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_1025p2d28_Haisan_2017	Dairy2_low_1025p2d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2702p3d21_Haisan_2017	Dairy2_low_2702p3d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2702p3d28_Haisan_2017	Dairy2_low_2702p3d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2738p1d21_Haisan_2017	Dairy2_low_2738p1d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2738p1d28_Haisan_2017	Dairy2_low_2738p1d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2802p1d21_Haisan_2017	Dairy2_low_2802p1d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2802p1d28_Haisan_2017	Dairy2_low_2802p1d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2804p2d21_Haisan_2017	Dairy2_low_2804p2d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2804p2d28_Haisan_2017	Dairy2_low_2804p2d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2812p3d21_Haisan_2017	Dairy2_low_2812p3d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2812p3d28_Haisan_2017	Dairy2_low_2812p3d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2902p1d21_Haisan_2017	Dairy2_low_2902p1d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2902p1d28_Haisan_2017	Dairy2_low_2902p1d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2904p3d21_Haisan_2017	Dairy2_low_2904p3d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2904p3d28_Haisan_2017	Dairy2_low_2904p3d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2912p2d21_Haisan_2017	Dairy2_low_2912p2d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2912p2d28_Haisan_2017	Dairy2_low_2912p2d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2914p2d21_Haisan_2017	Dairy2_low_2914p2d21	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
Dairy2_low_2914p2d28_Haisan_2017	Dairy2_low_2914p2d28	3-NOP	68	cow	Dairy	28	Haisan_2017	60	20.2
